sentence_id	sentence	syllable	word	f0_vowel	prosody
2b	MARY flew to Milan yesterday. [focus:MARY]	ɹi	mary	250|217|192Hz  66.1dB	-\\
2b	MARY flew to Milan yesterday. [focus:MARY]	fluː	flew	95|91|88Hz  62.6dB	_
2b	MARY flew to Milan yesterday. [focus:MARY]	tuː	to	100|99|94Hz  56.8dB	-
2b	MARY flew to Milan yesterday. [focus:MARY]	mɪ	milan	90|90|88Hz  59.5dB	-
2b	MARY flew to Milan yesterday. [focus:MARY]	læn	milan	87|86|85Hz  59.0dB	-
2b	MARY flew to Milan yesterday. [focus:MARY]	jɛs	yesterday	86|85|92Hz  57.0dB	_
2b	MARY flew to Milan yesterday. [focus:MARY]	tɚ	yesterday	175|172|168Hz  59.0dB	*-
2b	MARY flew to Milan yesterday. [focus:MARY]	deɪ	yesterday	83|87|88Hz  54.5dB	_
2c	Where did Mary fly yesterday? [wh-q]	wɛɹ	where	272|280|292Hz  70.0dB	*-
2c	Where did Mary fly yesterday? [wh-q]	dɪd	did		?
2c	Where did Mary fly yesterday? [wh-q]	mɛ	mary	280|274|270Hz  68.9dB	-
2c	Where did Mary fly yesterday? [wh-q]	ɹi	mary	267|269|271Hz  58.8dB	-
2c	Where did Mary fly yesterday? [wh-q]	flaɪ	fly	223|222|251Hz  65.2dB	//
2c	Where did Mary fly yesterday? [wh-q]	jɛs		209|175|178Hz  62.7dB	_\\
2c	Where did Mary fly yesterday? [wh-q]	tɚ		170|168|164Hz  60.3dB	-
2d	Mary flew to MILAN yesterday. [focus:MILAN]	mɛ	mary	205|219|224Hz  69.7dB	_//
2d	Mary flew to MILAN yesterday. [focus:MILAN]	ɹi	mary	234|244|238Hz  68.7dB	-
2d	Mary flew to MILAN yesterday. [focus:MILAN]	fluː	flew	233|226|114Hz  66.8dB	_\\
2d	Mary flew to MILAN yesterday. [focus:MILAN]	tuː	to	232|225|213Hz  62.2dB	-
2d	Mary flew to MILAN yesterday. [focus:MILAN]	mɪ	milan	210|206|200Hz  69.5dB	-
2d	Mary flew to MILAN yesterday. [focus:MILAN]	læn	milan	197|214|232Hz  65.8dB	-//
2d	Mary flew to MILAN yesterday. [focus:MILAN]	jɛs	yesterday	188|184|182Hz  62.5dB	-
2d	Mary flew to MILAN yesterday. [focus:MILAN]	tɚ	yesterday	85|159|164Hz  61.4dB	//
2d	Mary flew to MILAN yesterday. [focus:MILAN]	deɪ	yesterday	81|88|89Hz  57.2dB	_//
2e	When did Mary fly to Milan? [wh-q]	wɛn	when	199|195|199Hz  68.4dB	*-
2e	When did Mary fly to Milan? [wh-q]	dɪd	did	208|209|202Hz  68.9dB	-
2e	When did Mary fly to Milan? [wh-q]	mɛ	mary	201|194|190Hz  66.2dB	-
2e	When did Mary fly to Milan? [wh-q]	ɹi	mary	187|191|190Hz  62.1dB	-
2e	When did Mary fly to Milan? [wh-q]	flaɪ	fly	185|181|212Hz  64.2dB	_//
2e	When did Mary fly to Milan? [wh-q]	tuː	to	212|224|220Hz  62.1dB	-
2e	When did Mary fly to Milan? [wh-q]	mɪ	milan	252|242|234Hz  63.6dB	-
2e	When did Mary fly to Milan? [wh-q]	læn	milan	267|285|305Hz  64.2dB	-//
2f	Mary flew to Milan YESTERDAY. [focus:YEST]	mɛ	mary	205|219|224Hz  69.7dB	_//
2f	Mary flew to Milan YESTERDAY. [focus:YEST]	ɹi	mary	234|244|238Hz  68.7dB	-
2f	Mary flew to Milan YESTERDAY. [focus:YEST]	fluː	flew	233|226|114Hz  66.8dB	_\\
2f	Mary flew to Milan YESTERDAY. [focus:YEST]	tuː	to	232|225|213Hz  62.2dB	-
2f	Mary flew to Milan YESTERDAY. [focus:YEST]	mɪ	milan	210|206|200Hz  69.5dB	-
2f	Mary flew to Milan YESTERDAY. [focus:YEST]	læn	milan	197|214|232Hz  65.8dB	-//
2f	Mary flew to Milan YESTERDAY. [focus:YEST]	jɛs	yesterday	188|184|182Hz  62.5dB	-
2f	Mary flew to Milan YESTERDAY. [focus:YEST]	tɚ	yesterday	85|159|164Hz  61.4dB	//
2f	Mary flew to Milan YESTERDAY. [focus:YEST]	deɪ	yesterday	81|88|89Hz  57.2dB	_//
2g	How did Mary go to Milan yesterday? [wh-q]	haʊ	how	91|95|194Hz  61.7dB	_//
2g	How did Mary go to Milan yesterday? [wh-q]	dɪd	did	220|215|213Hz  67.5dB	*-
2g	How did Mary go to Milan yesterday? [wh-q]	mɛ	mary	203|193|189Hz  64.4dB	-
2g	How did Mary go to Milan yesterday? [wh-q]	ɹi	mary	194|202|101Hz  59.7dB	_\\
2g	How did Mary go to Milan yesterday? [wh-q]	ɡoʊ	go	187|184|183Hz  62.8dB	-
2g	How did Mary go to Milan yesterday? [wh-q]	tuː	to	183|184|92Hz  60.9dB	-\\
2g	How did Mary go to Milan yesterday? [wh-q]	mɪ	milan	93|93|88Hz  59.1dB	_
2g	How did Mary go to Milan yesterday? [wh-q]	læn	milan	90|119|135Hz  62.5dB	_//
2h	Mary FLEW to Milan yesterday. [focus:FLEW]	jɛs	yesterday	212|219|227Hz  68.5dB	*-
2h	Mary FLEW to Milan yesterday. [focus:FLEW]	tɚ	yesterday	117|117|237Hz  57.9dB	//
2h	Mary FLEW to Milan yesterday. [focus:FLEW]	deɪ	yesterday	115|115|115Hz  54.4dB	_
2h	Mary FLEW to Milan yesterday. [focus:FLEW]	mɛ	mary	213|210|208Hz  67.6dB	*-
2h	Mary FLEW to Milan yesterday. [focus:FLEW]	ɹi	mary	210|209|207Hz  68.5dB	-
2h	Mary FLEW to Milan yesterday. [focus:FLEW]	fluː	flew	204|203|203Hz  66.4dB	-
2h	Mary FLEW to Milan yesterday. [focus:FLEW]	tuː	to	203|205|201Hz  66.2dB	-
2h	Mary FLEW to Milan yesterday. [focus:FLEW]	mɪ	milan	193|190|187Hz  64.5dB	-
2h	Mary FLEW to Milan yesterday. [focus:FLEW]	læn	milan	190|197|216Hz  67.2dB	//
2h	Mary FLEW to Milan yesterday. [focus:FLEW]	jɛs	yesterday		?
2h	Mary FLEW to Milan yesterday. [focus:FLEW]	tɚ	yesterday	159|155|85Hz  61.8dB	*-\\
2h	Mary FLEW to Milan yesterday. [focus:FLEW]	deɪ	yesterday	166|88|89Hz  56.1dB	_\\
3a	Mary has arrived already. [statement]	mɛ	mary	202|203|213Hz  67.9dB	*-
3a	Mary has arrived already. [statement]	ɹi	mary	244|232|225Hz  67.2dB	*-
3a	Mary has arrived already. [statement]	hæz	has	225|217|112Hz  60.5dB	_\\
3a	Mary has arrived already. [statement]	ɚ	arrived	101|205|199Hz  64.0dB	_//
3a	Mary has arrived already. [statement]	ɹaɪvd	arrived	182|240|239Hz  64.3dB	//
3a	Mary has arrived already. [statement]	ɔːl	already	235|226|223Hz  62.2dB	-
3a	Mary has arrived already. [statement]	ɹɛ	already	129|133|136Hz  64.4dB	_
3a	Mary has arrived already. [statement]	di	already	135|137|137Hz  50.3dB	_
3b	Mary has arrived already? [question]	mɛ	mary	217|216|218Hz  67.6dB	*-
3b	Mary has arrived already? [question]	ɹi	mary	225|112|113Hz  60.8dB	_\\
3b	Mary has arrived already? [question]	hæz	has	233|252|287Hz  66.8dB	*-//
3b	Mary has arrived already? [question]	ɚ	arrived	268|209|185Hz  65.5dB	\\
3b	Mary has arrived already? [question]	ɹaɪvd	arrived	164|160|167Hz  58.2dB	_
3b	Mary has arrived already? [question]	ɔːl	already		?
3b	Mary has arrived already? [question]	ɹɛ	already	80|82|84Hz  59.8dB	-
3b	Mary has arrived already? [question]	di	already	86|86|86Hz  52.7dB	_
3c	Mary has arrived ALREADY? [incredulity]	mɛ	mary	203|205|216Hz  67.2dB	*-
3c	Mary has arrived ALREADY? [incredulity]	ɹi	mary	269|267|271Hz  68.8dB	-
3c	Mary has arrived ALREADY? [incredulity]	hæz	has	271|257|236Hz  68.9dB	\\
3c	Mary has arrived ALREADY? [incredulity]	ɚ	arrived	242|225|215Hz  68.0dB	_\\
3c	Mary has arrived ALREADY? [incredulity]	ɹaɪvd	arrived	194|249|262Hz  66.9dB	-//
3c	Mary has arrived ALREADY? [incredulity]	ɔːl	already	188|182|177Hz  66.5dB	_
3c	Mary has arrived ALREADY? [incredulity]	ɹɛ	already	170|163|159Hz  62.3dB	-
3c	Mary has arrived ALREADY? [incredulity]	di	already	164|161|166Hz  60.6dB	-
3c	Mary has arrived ALREADY? [incredulity]	aɪ	i	166|170|166Hz  56.6dB	-
4a	I need to perMIT this. [verb stress]	ɔːl	already	188|182|177Hz  66.5dB	_
4a	I need to perMIT this. [verb stress]	ɹɛ	already	170|163|159Hz  62.3dB	-
4a	I need to perMIT this. [verb stress]	di	already	164|161|166Hz  60.6dB	-
4a	I need to perMIT this. [verb stress]	aɪ	i	166|170|166Hz  56.6dB	-
4a	I need to perMIT this. [verb stress]	niːd	need	188|199|101Hz  66.1dB	*-\\
4a	I need to perMIT this. [verb stress]	tuː	to	100|97|97Hz  62.4dB	_
4a	I need to perMIT this. [verb stress]	pɜː	permit	185|172|166Hz  62.0dB	-\\
4a	I need to perMIT this. [verb stress]	mɪt	permit	157|170|186Hz  60.0dB	-//
4a	I need to perMIT this. [verb stress]	ðɪs	this	126|120|120Hz  59.9dB	_
4a	I need to perMIT this. [verb stress]	aɪ	i	257|291|344Hz  60.5dB	-//
4b	I need a new PERmit today. [noun stress]	mɪt		157|170|186Hz  60.0dB	-//
4b	I need a new PERmit today. [noun stress]	ðɪs	this	126|120|120Hz  59.9dB	_
4b	I need a new PERmit today. [noun stress]	aɪ	i	257|291|344Hz  60.5dB	-//
4b	I need a new PERmit today. [noun stress]	niːd	need	201|194|195Hz  66.3dB	_
4b	I need a new PERmit today. [noun stress]	eɪ	a	200|98|180Hz  63.2dB	*-\
4b	I need a new PERmit today. [noun stress]	nuː	new	91|90|90Hz  51.9dB	_
4b	I need a new PERmit today. [noun stress]	pɜː	permit	178|174|171Hz  66.2dB	*-
4b	I need a new PERmit today. [noun stress]	mɪt	permit	168|163|192Hz  63.8dB	_//
4b	I need a new PERmit today. [noun stress]	tə	today	259|260|269Hz  66.3dB	-
4b	I need a new PERmit today. [noun stress]	deɪ	today	368|368|368Hz  50.6dB	-
4c	The CONtract was signed. [noun]	mɪt		168|163|192Hz  63.8dB	_//
4c	The CONtract was signed. [noun]	tə	today	259|260|269Hz  66.3dB	-
4c	The CONtract was signed. [noun]	deɪ	today	368|368|368Hz  50.6dB	-
4c	The CONtract was signed. [noun]	ðə	the	229|225|161Hz  66.7dB	_\\
4c	The CONtract was signed. [noun]	kɑːn	contract		?
4c	The CONtract was signed. [noun]	tɹækt	contract	207|227|233Hz  70.6dB	*-//
4c	The CONtract was signed. [noun]	wʌz	was	84|89|89Hz  61.3dB	_
4c	The CONtract was signed. [noun]	saɪnd	signed	191|196|205Hz  66.0dB	*-
4d	Please conTRACT the summary. [verb]	pliːz	please	184|162|162Hz  61.0dB	_\\
4d	Please conTRACT the summary. [verb]	kɑːn	contract	195|192|180Hz  59.8dB	-
4d	Please conTRACT the summary. [verb]	tɹækt	contract	167|160|156Hz  61.8dB	_
4d	Please conTRACT the summary. [verb]	ðə	the	219|108|109Hz  60.6dB	_\\
4d	Please conTRACT the summary. [verb]	sʌ	summary	210|216|228Hz  66.8dB	-
4d	Please conTRACT the summary. [verb]	mɚ	summary	257|267|274Hz  70.1dB	-
4d	Please conTRACT the summary. [verb]	ɹi	summary	275|267|269Hz  63.5dB	-
4e	Please reCORD this for her. [verb]	pliːz	please	177|174|175Hz  63.5dB	_
4e	Please reCORD this for her. [verb]	ɹɛ	record	233|241|247Hz  68.7dB	*-
4e	Please reCORD this for her. [verb]	kɚd	record		?
4e	Please reCORD this for her. [verb]	ðɪs	this	225|199|94Hz  63.4dB	\\
4e	Please reCORD this for her. [verb]	fɔːɹ	for	215|202|200Hz  68.1dB	-
4e	Please reCORD this for her. [verb]	hɜː	her	200|217|110Hz  64.2dB	-\\
4f	That's a REcord for her. [noun]	hɜː	her	200|217|110Hz  64.2dB	-\\
4f	That's a REcord for her. [noun]	ðæts	that's	93|92|89Hz  60.9dB	_
4f	That's a REcord for her. [noun]	eɪ	a	211|195|158Hz  63.9dB	-\\
4f	That's a REcord for her. [noun]	ɹɛ	record	248|265|257Hz  69.6dB	*-
4f	That's a REcord for her. [noun]	kɚd	record	251|257|267Hz  72.1dB	*-
4f	That's a REcord for her. [noun]	fɔːɹ	for	161|160|160Hz  59.0dB	_
4f	That's a REcord for her. [noun]	hɜː	her	160|166|166Hz  55.9dB	_
5a	John bought a new CAR yesterday. [broad/CAR]	dʒɑːn	john	202|208|226Hz  70.4dB	*-//
5a	John bought a new CAR yesterday. [broad/CAR]	bɔːt	bought	230|217|201Hz  65.3dB	\\
5a	John bought a new CAR yesterday. [broad/CAR]	eɪ	a	207|217|253Hz  69.8dB	//
5a	John bought a new CAR yesterday. [broad/CAR]	nuː	new	251|253|253Hz  55.3dB	-
5a	John bought a new CAR yesterday. [broad/CAR]	kɑːɹ	car	214|195|181Hz  66.1dB	\\
5a	John bought a new CAR yesterday. [broad/CAR]	jɛs	yesterday	158|157|157Hz  54.7dB	_
5a	John bought a new CAR yesterday. [broad/CAR]	tɚ	yesterday	169|169|152Hz  55.3dB	*-\\
5a	John bought a new CAR yesterday. [broad/CAR]	deɪ	yesterday	106|108|109Hz  51.6dB	_
5b	John bought a new CAR yesterday. [narrow:CAR]	dʒɑːn	john	221|227|246Hz  68.8dB	*-//
5b	John bought a new CAR yesterday. [narrow:CAR]	bɔːt	bought	241|225|221Hz  69.0dB	-
5b	John bought a new CAR yesterday. [narrow:CAR]	eɪ	a	229|226|227Hz  71.2dB	-
5b	John bought a new CAR yesterday. [narrow:CAR]	nuː	new	221|219|157Hz  66.9dB	_\\
5b	John bought a new CAR yesterday. [narrow:CAR]	kɑːɹ	car	210|232|262Hz  66.6dB	-//
5b	John bought a new CAR yesterday. [narrow:CAR]	jɛs	yesterday	230|193|168Hz  67.2dB	_\\
5b	John bought a new CAR yesterday. [narrow:CAR]	tɚ	yesterday		?
5b	John bought a new CAR yesterday. [narrow:CAR]	deɪ	yesterday	161|161|159Hz  56.8dB	-
5c	Did John buy a new BIKE yesterday? [q]	jɛs	yesterday	230|193|168Hz  67.2dB	_\\
5c	Did John buy a new BIKE yesterday? [q]	tɚ	yesterday		?
5c	Did John buy a new BIKE yesterday? [q]	deɪ	yesterday	161|161|159Hz  56.8dB	-
5c	Did John buy a new BIKE yesterday? [q]	dɪd	did	150|85|88Hz  59.3dB	_\\
5c	Did John buy a new BIKE yesterday? [q]	dʒɑːn	john	222|211|221Hz  70.0dB	*-
5c	Did John buy a new BIKE yesterday? [q]	baɪ	buy	240|222|219Hz  70.9dB	\\
5c	Did John buy a new BIKE yesterday? [q]	eɪ	a	219|217|219Hz  68.5dB	-
5c	Did John buy a new BIKE yesterday? [q]	nuː	new	213|220|113Hz  63.3dB	_\\
5c	Did John buy a new BIKE yesterday? [q]	baɪk	bike	209|222|230Hz  68.2dB	*-//
5c	Did John buy a new BIKE yesterday? [q]	jɛs	yesterday	223|213|214Hz  65.3dB	-
5c	Did John buy a new BIKE yesterday? [q]	tɚ	yesterday	176|165|155Hz  62.6dB	_\\
5c	Did John buy a new BIKE yesterday? [q]	deɪ	yesterday		?
5c	Did John buy a new BIKE yesterday? [q]	noʊ	no	92|88|87Hz  55.5dB	_
5d	No, he bought a new CAR yesterday. [corr:CAR]	jɛs	yesterday	223|213|214Hz  65.3dB	-
5d	No, he bought a new CAR yesterday. [corr:CAR]	tɚ	yesterday	176|165|155Hz  62.6dB	_\\
5d	No, he bought a new CAR yesterday. [corr:CAR]	deɪ	yesterday		?
5d	No, he bought a new CAR yesterday. [corr:CAR]	noʊ	no	92|88|87Hz  55.5dB	_
5d	No, he bought a new CAR yesterday. [corr:CAR]	hiː	he	224|206|197Hz  67.5dB	*-\\
5d	No, he bought a new CAR yesterday. [corr:CAR]	bɔːt	bought	183|182|186Hz  58.2dB	-
5d	No, he bought a new CAR yesterday. [corr:CAR]	eɪ	a	206|98|92Hz  65.1dB	*-\\
5d	No, he bought a new CAR yesterday. [corr:CAR]	nuː	new	92|87|92Hz  57.0dB	_
5d	No, he bought a new CAR yesterday. [corr:CAR]	kɑːɹ	car	165|167|223Hz  63.6dB	//
5d	No, he bought a new CAR yesterday. [corr:CAR]	jɛs	yesterday	256|251|243Hz  60.8dB	-
5d	No, he bought a new CAR yesterday. [corr:CAR]	tɚ	yesterday	290|282|277Hz  66.4dB	_
5d	No, he bought a new CAR yesterday. [corr:CAR]	deɪ	yesterday	347|354|353Hz  58.5dB	-
5e	Who bought a new car yesterday? [wh-q]	huː	who	247|229|216Hz  69.0dB	_\\
5e	Who bought a new car yesterday? [wh-q]	bɔːt	bought	191|186|191Hz  68.9dB	_
5e	Who bought a new car yesterday? [wh-q]	eɪ	a	217|211|213Hz  69.3dB	-
5e	Who bought a new car yesterday? [wh-q]	nuː	new	244|242|236Hz  68.2dB	-
5e	Who bought a new car yesterday? [wh-q]	kɑːɹ	car	233|248|266Hz  66.5dB	-//
5e	Who bought a new car yesterday? [wh-q]	jɛs	yesterday	224|175|177Hz  65.3dB	_\\
5e	Who bought a new car yesterday? [wh-q]	tɚ	yesterday	155|156|153Hz  61.0dB	_
5e	Who bought a new car yesterday? [wh-q]	deɪ	yesterday	503|86|89Hz  57.4dB	\\
5f	JOHN bought a new car yesterday. [focus:JOHN]	dʒɑːn	john	229|218|219Hz  68.5dB	*-
5f	JOHN bought a new car yesterday. [focus:JOHN]	bɔːt	bought	235|220|216Hz  69.6dB	-
5f	JOHN bought a new car yesterday. [focus:JOHN]	eɪ	a	209|211|207Hz  67.4dB	-
5f	JOHN bought a new car yesterday. [focus:JOHN]	nuː	new	202|204|205Hz  65.5dB	-
5f	JOHN bought a new car yesterday. [focus:JOHN]	kɑːɹ	car	204|181|185Hz  63.1dB	-\\
5f	JOHN bought a new car yesterday. [focus:JOHN]	jɛs	yesterday	194|106|111Hz  62.3dB	_\\
5f	JOHN bought a new car yesterday. [focus:JOHN]	tɚ	yesterday	243|239|234Hz  64.6dB	*-
5f	JOHN bought a new car yesterday. [focus:JOHN]	deɪ	yesterday	274|178|100Hz  59.6dB	_\\
5g	Did Mary buy a car yesterday? [q]	dɪd	did	238|233|236Hz  75.8dB	-
5g	Did Mary buy a car yesterday? [q]	mɛ	mary	269|285|293Hz  71.4dB	-
5g	Did Mary buy a car yesterday? [q]	ɹi	mary	269|261|246Hz  72.3dB	*-
5g	Did Mary buy a car yesterday? [q]	baɪ	buy	222|175|167Hz  65.1dB	_\\
5g	Did Mary buy a car yesterday? [q]	eɪ	a	167|166|164Hz  62.0dB	_
5g	Did Mary buy a car yesterday? [q]	kɑːɹ	car	185|173|168Hz  63.0dB	*-\\
5g	Did Mary buy a car yesterday? [q]	jɛs	yesterday	159|86|86Hz  59.0dB	_\\
5g	Did Mary buy a car yesterday? [q]	tɚ	yesterday	77|77|75Hz  58.8dB	_
5g	Did Mary buy a car yesterday? [q]	deɪ	yesterday	76|76|76Hz  59.1dB	-
5g	Did Mary buy a car yesterday? [q]	noʊ	no		?
5h	No, JOHN bought a new car. [corr:JOHN]	tɚ		77|77|75Hz  58.8dB	_
5h	No, JOHN bought a new car. [corr:JOHN]	deɪ		76|76|76Hz  59.1dB	-
5h	No, JOHN bought a new car. [corr:JOHN]	noʊ	no		?
5h	No, JOHN bought a new car. [corr:JOHN]	dʒɑːn	john	205|201|201Hz  68.5dB	-
5h	No, JOHN bought a new car. [corr:JOHN]	bɔːt	bought	189|189|186Hz  62.0dB	-
5h	No, JOHN bought a new car. [corr:JOHN]	eɪ	a	183|100|192Hz  64.3dB	-
5h	No, JOHN bought a new car. [corr:JOHN]	nuː	new	189|189|189Hz  64.2dB	-
5h	No, JOHN bought a new car. [corr:JOHN]	kɑːɹ	car	174|167|172Hz  60.3dB	-
5h	No, JOHN bought a new car. [corr:JOHN]	jɛs	yesterday	99|107|108Hz  58.0dB	_//
5h	No, JOHN bought a new car. [corr:JOHN]	tɚ	yesterday	238|229|225Hz  63.7dB	*-
5h	No, JOHN bought a new car. [corr:JOHN]	deɪ	yesterday	138|133|133Hz  57.5dB	_
5i	JOHN bought it. [contrastive topic]	æz	as	231|225|224Hz  62.8dB	-
5i	JOHN bought it. [contrastive topic]	fɔːɹ	for	277|276|231Hz  69.3dB	*-\\
5i	JOHN bought it. [contrastive topic]	ðə	the		?
5i	JOHN bought it. [contrastive topic]	kɑːɹ	car	217|252|262Hz  69.6dB	-//
5i	JOHN bought it. [contrastive topic]	huː	who	237|217|216Hz  68.5dB	-\\
5i	JOHN bought it. [contrastive topic]	bɔːt	bought	192|171|170Hz  63.3dB	_\\
5i	JOHN bought it. [contrastive topic]	ɪt	it	165|164|159Hz  57.5dB	_
5i	JOHN bought it. [contrastive topic]	oʊn		184|184|182Hz  54.7dB	-
6a	ONLY JOHN called Maria.	bɔːt	bought	192|171|170Hz  63.3dB	_\\
6a	ONLY JOHN called Maria.	ɪt	it	165|164|159Hz  57.5dB	_
6a	ONLY JOHN called Maria.	oʊn	only	184|184|182Hz  54.7dB	-
6a	ONLY JOHN called Maria.	li	only	166|80|83Hz  58.6dB	_\\
6a	ONLY JOHN called Maria.	dʒɑːn	john	155|154|152Hz  57.0dB	_
6a	ONLY JOHN called Maria.	kɔːld	called	251|242|240Hz  68.2dB	*-
6a	ONLY JOHN called Maria.	mɚ	maria	104|113|117Hz  64.5dB	_//
6a	ONLY JOHN called Maria.	ɹiː	maria	198|204|204Hz  61.1dB	*-
6a	ONLY JOHN called Maria.	ə	maria		?
6b	John only CALLED Maria.	dʒɑːn	john	204|207|207Hz  69.3dB	_
6b	John only CALLED Maria.	oʊn	only	216|234|245Hz  72.8dB	-//
6b	John only CALLED Maria.	li	only	272|247|111Hz  68.2dB	\\
6b	John only CALLED Maria.	kɔːld	called	224|232|258Hz  68.6dB	*-//
6b	John only CALLED Maria.	mɚ	maria	172|166|162Hz  61.3dB	_
6b	John only CALLED Maria.	ɹiː	maria	152|151|151Hz  59.2dB	-
6b	John only CALLED Maria.	ə	maria	78|78|78Hz  58.7dB	_
6c	John called only MARIA.	dʒɑːn	john	209|200|206Hz  68.6dB	*-
6c	John called only MARIA.	kɔːld	called	203|207|238Hz  69.1dB	*-//
6c	John called only MARIA.	oʊn	only	149|98|99Hz  60.6dB	_\\
6c	John called only MARIA.	li	only	173|168|162Hz  64.8dB	*-
6c	John called only MARIA.	mɚ	maria	153|152|157Hz  60.5dB	_
6c	John called only MARIA.	ɹiː	maria	162|156|157Hz  60.4dB	-
6c	John called only MARIA.	ə	maria		?
6c	John called only MARIA.	iː	even		?
6c	John called only MARIA.	vən	even		?
6d	EVEN JOHN passed the test.	oʊn	only	149|98|99Hz  60.6dB	_\\
6d	EVEN JOHN passed the test.	li	only	173|168|162Hz  64.8dB	*-
6d	EVEN JOHN passed the test.	mɚ	maria	153|152|157Hz  60.5dB	_
6d	EVEN JOHN passed the test.	ɹiː	maria	162|156|157Hz  60.4dB	-
6d	EVEN JOHN passed the test.	ə	maria		?
6d	EVEN JOHN passed the test.	iː	even		?
6d	EVEN JOHN passed the test.	vən	even		?
6d	EVEN JOHN passed the test.	dʒɑːn	john	208|195|210Hz  68.4dB	-
6d	EVEN JOHN passed the test.	pæst	passed	208|197|139Hz  65.1dB	_\\
6d	EVEN JOHN passed the test.	ðə	the	502|173|147Hz  63.7dB	\\
6d	EVEN JOHN passed the test.	tɛst	test	214|270|221Hz  70.7dB	-
6d	EVEN JOHN passed the test.	dʒɑːn	john	226|303|293Hz  69.7dB	*-//
6e	John even PASSED the test.	tɛst	test	214|270|221Hz  70.7dB	-
6e	John even PASSED the test.	dʒɑːn	john	226|303|293Hz  69.7dB	*-//
6e	John even PASSED the test.	iː	even	212|206|202Hz  64.3dB	_
6e	John even PASSED the test.	vən	even	199|198|186Hz  59.4dB	-
6e	John even PASSED the test.	pæst	passed	165|158|159Hz  61.8dB	-
6e	John even PASSED the test.	ðə	the	141|138|136Hz  57.8dB	_
6e	John even PASSED the test.	tɛst	test	173|167|167Hz  57.0dB	-
6f	Many STUDENTS solved the test.	mɛ	many	192|200|205Hz  68.2dB	-
6f	Many STUDENTS solved the test.	ni	many	234|249|237Hz  69.7dB	*-
6f	Many STUDENTS solved the test.	stuː	students	242|242|242Hz  53.9dB	-
6f	Many STUDENTS solved the test.	dənts	students	247|268|272Hz  70.3dB	*-//
6f	Many STUDENTS solved the test.	sɑːlvd	solved	210|193|194Hz  66.5dB	_
6f	Many STUDENTS solved the test.	ðə	the	197|188|187Hz  63.4dB	-
6f	Many STUDENTS solved the test.	tɛst	test	186|83|87Hz  59.6dB	_\\
6g	Many students SOLVED the test.	mɛ	many	193|199|201Hz  68.6dB	-
6g	Many students SOLVED the test.	ni	many	226|234|223Hz  71.1dB	*-
6g	Many students SOLVED the test.	stuː	students	113|112|237Hz  52.8dB	_//
6g	Many students SOLVED the test.	dənts	students	213|217|217Hz  70.0dB	*-
6g	Many students SOLVED the test.	sɑːlvd	solved	216|204|223Hz  69.4dB	-
6g	Many students SOLVED the test.	ðə	the	182|172|167Hz  64.0dB	_
